companies,cnty_iso
Cervel Neurotech INC,US
Waveconnex INC,US
Accudial Pharmaceutical INC,US
Si-Ware Systems INC,US
Avogy INC,US
Imergy Power Systems,US
"Catabasis Pharmaceuticals, Inc.",US
"Zafgen, Inc.",US
"Mirati Therapeutics, Inc.",US
